token,last_active,unrealized,realized_profit,total_profit,balance,usd,position_pct,holding_duration,bought_avg,sold_avg,txs
Pumpflix24m 1m,Pumpflix24m 1m,-$2.31-1.6%,-$2.31-1.6%,+$13.83+0.5%,$140.411.5M,$140.411.5M,4.39%,4m,$3K$0.0₄8315,$2.87K$0.0₄833,18/12
runner29m 26m,runner29m 26m,-$0.427-0.2%,-$0.427-0.2%,-$0.427-0.2%,$260.093.8M,$260.093.8M,100%,26m,$260.52$0.0₄6818,$0$0,1/0
ANON55m 30m,ANON55m 30m,Sell All,Sell All,+$2.99+0.1%,$00,$00,0%,16m,$2.96K$0.0₄9184,$2.63K$0.0₄9111,17/12
UTK1h 30m,UTK1h 30m,Sell All,Sell All,+$12.31+0.6%,$00,$00,0%,37m,$2.09K$0.0₄9161,$2.1K$0.0₄9214,12/11
GS1h 1h,GS1h 1h,Sell All,Sell All,+$32.99+1.7%,$00,$00,0%,15m,$1.91K$0.0₄9593,$1.71K$0.0₄9801,9/6
Earth2h 1h,Earth2h 1h,Sell All,Sell All,+$74.65+4.3%,$00,$00,0%,4m,$1.74K$0.0₄8008,$1.59K$0.0₄824,7/7
runner3h 2h,runner3h 2h,Sell All,Sell All,+$14.59+0.4%,$00,$00,0%,50m,$3.37K$0.0₄8484,$3.15K$0.0₄8463,15/19
DDOW2h 2h,DDOW2h 2h,Sell All,Sell All,+$10.02+0.3%,$00,$00,0%,10m,$3.08K$0.0₄8854,$2.75K$0.0₄8787,17/13
LMC2h 2h,LMC2h 2h,$00%,$00%,$00%,$00,$00,0%,2m,$153.26$0.0₄6995,$0$0,2/0
Marshmalow3h 3h,Marshmalow3h 3h,Sell All,Sell All,+$22.97+4.5%,$00,$00,0%,1m,$509.57$0.0₄6526,$345.92$0.0₄6816,2/1
EGG3h 3h,EGG3h 3h,Sell All,Sell All,+$49.67+1.6%,$00,$00,0%,8m,$3.19K$0.0₄8527,$3.23K$0.0₄866,20/15
TWB5h 3h,TWB5h 3h,$00%,$00%,$00%,$00,$00,0%,1h,$35.22$0.0₄6115,$0$0,1/0
Xing4h 3h,Xing4h 3h,Sell All,Sell All,+$31.89+1.3%,$00,$00,0%,57m,$2.52K$0.0₄931,$2.21K$0.0₄9389,13/11
DDOW4h 3h,DDOW4h 3h,Sell All,Sell All,+$64.28+2.1%,$00,$00,0%,21m,$3.12K$0.0₄8809,$3.19K$0.0₄899,17/14
RAPE5h 3h,RAPE5h 3h,Sell All,Sell All,+$13.31+0.6%,$00,$00,0%,1h,$2.41K$0.0₄9232,$2.07K$0.0₄925,12/11
TWB3h 3h,TWB3h 3h,Sell All,Sell All,+$36.38+10.8%,$00,$00,0%,3m,$337.77$0.0₄8708,$373.98$0.0₄9646,2/1
yee5h 3h,yee5h 3h,Sell All,Sell All,+$25.56+0.9%,$00,$00,0%,1h,$2.96K$0.0₄8975,$2.98K$0.0₄9052,14/16
BEAVO6h 5h,BEAVO6h 5h,Sell All,Sell All,+$25.66+0.7%,$00,$00,0%,21m,$3.47K$0.0₄9032,$3.17K$0.0₄9019,15/16
PUMPFUND7h 6h,PUMPFUND7h 6h,Sell All,Sell All,+$15.05+0.5%,$00,$00,0%,45m,$2.97K$0.0₄9263,$2.66K$0.0₄9205,17/17
foobi6h 6h,foobi6h 6h,Sell All,Sell All,+$65.3+2.7%,$00,$00,0%,7m,$2.41K$0.0₄9285,$2.48K$0.0₄9536,12/11
Fawcette7h 6h,Fawcette7h 6h,Sell All,Sell All,+$23.09+1%,$00,$00,0%,1h,$2.3K$0.0₄8659,$2.01K$0.0₄8674,12/15
Hoppy6h 6h,Hoppy6h 6h,Sell All,Sell All,+$52.76+7%,$00,$00,0%,6m,$751.35$0.0₄7607,$505.22$0.0₄7869,5/3
DDOW8h 7h,DDOW8h 7h,Sell All,Sell All,+$77.36+1.9%,$00,$00,0%,4m,$4.07K$0.0₄8506,$3.75K$0.0₄8559,22/18
6 78h 8h,6 78h 8h,Sell All,Sell All,+$15.85+0.4%,$00,$00,0%,15m,$3.63K$0.0₄9045,$3.29K$0.0₄9049,18/17
Mongoru8h 8h,Mongoru8h 8h,Sell All,Sell All,+$28.27+1.2%,$00,$00,0%,9m,$2.44K$0.0₄8732,$2.47K$0.0₄8833,14/12
Rita9h 8h,Rita9h 8h,Sell All,Sell All,+$51.57+1.9%,$00,$00,0%,28m,$2.7K$0.0₄8482,$2.75K$0.0₄8643,16/16
foobi9h 9h,foobi9h 9h,Sell All,Sell All,+$5.25+5%,$00,$00,0%,1m,$106.06$0.0₄573,$111.26$0.0₄6014,1/1
insane9h 9h,insane9h 9h,Sell All,Sell All,+$4.45+1.4%,$00,$00,0%,12s,$315.21$0.0₄605,$319.5$0.0₄6135,1/3
Marsh10h 9h,Marsh10h 9h,Sell All,Sell All,+$45.22+3.3%,$00,$00,0%,42m,$1.36K$0.0₄8408,$1.09K$0.0₄8567,6/5
MEOWS9h 9h,MEOWS9h 9h,Sell All,Sell All,+$24.31+0.6%,$00,$00,0%,6m,$4.25K$0.0₄8898,$4.11K$0.0₄8936,22/19
ANON10h 10h,ANON10h 10h,$00%,$00%,$00%,$00,$00,0%,2m,$344.84$0.0₄6919,$0$0,2/0
cbBTC11h 10h,cbBTC11h 10h,Sell All,Sell All,+$47.52+2.4%,$00,$00,0%,8m,$2.01K$0.0₄8518,$2.05K$0.0₄8719,10/14
Xing10h 10h,Xing10h 10h,Sell All,Sell All,+$100.71+5.4%,$00,$00,0%,22m,$1.86K$0.0₄8668,$1.52K$0.0₄9013,10/4
BEAVO11h 11h,BEAVO11h 11h,Sell All,Sell All,+$25.49+0.6%,$00,$00,0%,27m,$4.21K$0.0₄8712,$4.23K$0.0₄8764,21/18
PUMPFUND1d 11h,PUMPFUND1d 11h,Sell All,Sell All,+$392.65+28.1%,$00,$00,0%,16h,$1.4K$0.0001,$1.05K$0.0001,9/4
LUTHERTECH11h 11h,LUTHERTECH11h 11h,Sell All,Sell All,+$9.57+0.4%,$00,$00,0%,51s,$2.24K$0.0₄9121,$2.01K$0.0₄9104,12/13
DOW1d 11h,DOW1d 11h,$00%,$00%,$00%,$00,$00,0%,16h,$320.28$0.0₄7804,$0$0,1/0
Litcoin1d 11h,Litcoin1d 11h,Sell All,Sell All,+$249.36+20.4%,$00,$00,0%,16h,$1.22K$0.0001,$869.75$0.0001,9/2
AUDGE12h 12h,AUDGE12h 12h,Sell All,Sell All,+$318.8K+4.4K%,$00,$00,0%,19m,$7.11K$0.0₄1896,$325.9K$0.0008,1/13
Marshmalow1d 1d,Marshmalow1d 1d,Sell All,Sell All,+$276.65+31.2%,$00,$00,0%,48m,$887.25$0.0001,$620.95$0.0001,6/1
Earth1d 1d,Earth1d 1d,Sell All,Sell All,+$87.14+3.8%,$00,$00,0%,19m,$2.3K$0.0₄9585,$1.95K$0.0₄9668,15/8
cbBTC1d 1d,cbBTC1d 1d,$00%,$00%,$00%,$00,$00,0%,1h,$345.52$0.0₄8377,$0$0,3/0
ARCHER1d 1d,ARCHER1d 1d,$00%,$00%,$00%,$00,$00,0%,1h,$345.84$0.0001,$0$0,2/0
MEOWS1d 1d,MEOWS1d 1d,Sell All,Sell All,+$17.8+0.9%,$00,$00,0%,17m,$1.91K$0.0001,$1.86K$0.0001,13/12
foobi1d 1d,foobi1d 1d,Sell All,Sell All,+$231.98+50.2%,$00,$00,0%,48m,$462.08$0.0₄9333,$577.51$0.0001,4/1
ARCHER1d 1d,ARCHER1d 1d,Sell All,Sell All,+$68.28+5.1%,$00,$00,0%,15m,$1.34K$0.0001,$985.34$0.0001,9/3
DOW1d 1d,DOW1d 1d,Sell All,Sell All,+$3.01+1%,$00,$00,0%,11s,$306.75$0.0₄6015,$309.61$0.0₄6074,1/2
DDOW1d 1d,DDOW1d 1d,Sell All,Sell All,+$63.42+9.6%,$00,$00,0%,2m,$658.8$0.0₄6936,$718.59$0.0₄7604,3/6
WLM1d 1d,WLM1d 1d,Sell All,Sell All,+$107.19+4.7%,$00,$00,0%,1h,$2.29K$0.0001,$1.98K$0.0001,16/8
EGG1d 1d,EGG1d 1d,Sell All,Sell All,+$4.68+0.3%,$00,$00,0%,8m,$1.51K$0.0001,$1.52K$0.0001,9/5